equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
LDU Quito,2011,Ecuador,18.48,0.44,27.1,42,8
Bolívar La Paz,2011,Bolivia,4.85,0.187,26.4,26,7
Unión Española,2011,Chile,11.2,0.329,25.5,34,8
Liverpool FC Montevideo,2011,Uruguay,9.88,0.309,24.6,32,3
Once Caldas,2011,Colombia,10.93,0.266,24.1,41,4
Club Alianza Lima,2011,Perú,9.15,0.218,24.1,42,9
Club Deportivo Oriente Petrolero,2011,Bolivia,2.75,0.079,25.3,35,9
Club Jorge Wilstermann ,2011,Bolivia,1.4,0.042,25.5,33,16
Deportivo Táchira,2011,Venezuela,7.55,0.244,26.0,31,4
Caracas FC,2011,Venezuela,4.75,0.122,24.8,39,6
Universidad San Martín de Porres,2011,Perú,8.0,0.211,25.2,38,8
Deportivo Quito,2011,Ecuador,10.35,0.225,27.4,46,11
Deportivo Petare FC,2011,Venezuela,0.3,0.01,25.2,29,4
CD León de Huánuco,2011,Perú,5.05,0.115,26.5,44,6
San Luis FC,2011,México,25.0,0.735,26.2,34,8
Chiapas FC,2011,México,35.25,1.04,26.4,34,8
Clube de Regatas do Flamengo,2010,Brasil,75.0,1.34,25.0,56,6
Sport Club Internacional,2010,Brasil,94.9,1.56,24.7,61,6
São Paulo FC,2010,Brasil,78.3,1.96,25.2,40,2
Sport Club Corinthians Paulista,2010,Brasil,48.55,1.16,25.3,42,5
CF Monterrey,2010,México,54.95,1.53,26.1,36,8
CD Guadalajara,2010,México,40.2,1.15,23.4,35,0
CA Vélez Sarsfield,2010,Argentina,50.23,1.36,24.7,37,3
Club Atlético Lanús,2010,Argentina,37.03,0.926,24.7,40,5
Club Atlético Colón,2010,Argentina,19.75,0.564,25.2,35,5
Club Estudiantes de La Plata,2010,Argentina,48.9,1.16,25.2,42,5
Club Libertad Asunción,2010,Paraguay,6.0,0.154,23.4,39,3
Club Cerro Porteño,2010,Paraguay,13.53,0.301,24.6,45,6
CA Newell's Old Boys,2010,Argentina,23.4,0.544,24.5,43,6
CA Banfield,2010,Argentina,23.78,0.594,24.7,40,4
Junior de Barranquilla,2010,Colombia,17.13,0.439,26.6,39,3
Club Nacional,2010,Uruguay,13.55,0.437,25.0,31,4
CSD Colo Colo,2010,Chile,23.65,0.676,24.8,35,11
CS Emelec,2010,Ecuador,8.5,0.243,25.8,35,9
CD Universidad Católica,2010,Chile,22.53,0.593,25.0,38,10
Cruzeiro Esporte Clube,2010,Brasil,58.05,1.24,24.4,47,5
Independiente Medellín,2010,Colombia,19.0,0.475,24.0,40,7
Bolívar La Paz,2010,Bolivia,3.6,0.164,26.4,22,6
Universitario de Deportes,2010,Perú,7.2,0.206,24.3,35,4
Universidad de Chile,2010,Chile,19.9,0.524,24.5,38,10
Once Caldas,2010,Colombia,17.73,0.377,24.3,47,4
Club Alianza Lima,2010,Perú,10.73,0.268,25.0,40,6
Club Nacional Asunción,2010,Paraguay,3.65,0.14,25.8,26,2
Blooming Santa Cruz,2010,Bolivia,3.25,0.105,25.7,31,10
Club Atlético Morelia,2010,México,34.15,0.949,25.0,36,7
Deportivo Táchira,2010,Venezuela,4.28,0.143,26.1,30,5
Caracas FC,2010,Venezuela,3.78,0.105,25.9,36,5
Deportivo Cuenca,2010,Ecuador,5.18,0.144,25.3,36,4
Racing Club de Montevideo,2010,Uruguay,6.38,0.163,24.9,39,0
Club Atlético Cerro,2010,Uruguay,8.18,0.215,25.0,38,2
Club Juan Aurich,2010,Perú,8.6,0.261,27.0,33,5
Real Potosí,2010,Bolivia,,,27.3,22,7
Deportivo Quito,2010,Ecuador,9.6,0.282,26.5,34,7
Tecos FC,2010,México,24.65,0.77,26.6,32,9
Deportivo Italia,2010,Venezuela,0.95,0.032,27.6,30,7
San Luis FC,2010,México,30.25,0.818,26.9,37,10
